"driver_id","constructor_id","round","grid","position","status","pos_gained","round_points","accumulated_points","PI","PI_adj"
"giovinazzi","alfa",2,"17","14","+1 Lap",3,4.3857170609365,10.0916758653058,2.76301802562459,2.71803451901003
"vettel","aston_martin",2,"0","15","Gearbox",-15,3.84500226085464,7.69000452170929,2.10546012319565,1.89912503112248
"mick_schumacher","haas",2,"18","16","+2 Laps",2,3.37095215686815,6.74190431373629,1.84587806767861,1.81308400435695
"mazepin","haas",2,"19","17","+2 Laps",2,2.9553476624922,4.94683039720676,1.35440156220037,1.34141414592557
"bottas","mercedes",2,"8","18","Collision",-10,2.59098302193428,21.2386596244771,5.81497069126855,8.48671114398026
"russell","williams",2,"12","19","Collision",-7,2.27154087661232,6.65725793754883,1.82270258460411,1.66216115351189
"latifi","williams",2,"14","20","Collision",-6,1.99148273471456,4.58246575664884,1.25464151409747,1.21872047549769
"hamilton","mercedes",3,"2","1","Finished",1,24.2612263885053,69.7925139822335,12.7390783427442,12.741669736943
"max_verstappen","red_bull",3,"3","2","Finished",1,21.2700612052228,66.801348798951,12.1931073577239,12.2008728863966
"bottas","mercedes",3,"1","3","Finished",-2,18.6476766025428,39.8863362270199,7.28036766422241,7.30449453381757
"perez","red_bull",3,"4","4","Finished",0,16.3486056442394,37.1899687694061,6.78820547771467,6.77154464084157
"norris","mclaren",3,"7","5","Finished",2,14.3329870099961,49.3292692567783,9.00396603871285,9.016318219209
"leclerc","ferrari",3,"8","6","Finished",2,12.5658738793486,41.4803534029365,7.57132021092177,7.57806953992821
"ocon","alpine",3,"6","7","Finished",-1,11.0166280232844,24.4867059327411,4.46950607499732,4.45242260450568
"alonso","alpine",3,"13","8","Finished",5,9.65838859825537,19.3535652053057,3.53256487400008,3.514229563437
"ricciardo","mclaren",3,"16","9","Finished",7,8.46760643254417,32.0501083351771,5.85003774300487,5.864195143922
"gasly","alphatauri",3,"9","10","Finished",-1,7.42363573043798,21.3956114162146,3.90529520245471,3.90357771219177
"sainz","ferrari",3,"5","11","Finished",-6,6.5083761151706,30.4997517234221,5.56705446572435,5.58745742615957
"giovinazzi","alfa",3,"12","12","+1 Lap",0,5.70595880436931,15.7976346696751,2.88350847682996,2.88019899767356
"vettel","aston_martin",3,"10","13","+1 Lap",-3,5.00247147691252,12.6924759986218,2.31673050423436,2.30837839477213
"stroll","aston_martin",3,"17","14","+1 Lap",3,4.3857170609365,21.4677413896299,3.91846093226968,3.93179182813588
"tsunoda","alphatauri",3,"14","15","+1 Lap",-1,3.84500226085464,18.0185674977681,3.28889059701338,3.30162449125041
"russell","williams",3,"11","16","+1 Lap",-5,3.37095215686815,10.028210094417,1.83042774562894,1.8270624137866
"mick_schumacher","haas",3,"19","17","+2 Laps",2,2.9553476624922,9.69725197622849,1.77001866798999,1.77087997471733
"latifi","williams",3,"18","18","+2 Laps",0,2.59098302193428,7.17344877858312,1.3093542668673,1.30754159103991
"mazepin","haas",3,"20","19","+2 Laps",1,2.27154087661232,7.21837127381908,1.31755387386681,1.31803107930799
"raikkonen","alfa",3,"15","20","Collision damage",-5,1.99148273471456,13.5023303267977,2.46455148307844,2.52799600426123
"hamilton","mercedes",4,"1","1","Finished",0,24.2612263885053,94.0537403707388,12.8755710889993,12.8728930619582
"max_verstappen","red_bull",4,"2","2","Finished",0,21.2700612052228,88.0714100041738,12.0566146114688,12.0594997769674
"bottas","mercedes",4,"3","3","Finished",0,18.6476766025428,58.5340128295627,8.01306615069934,7.9988947183617
"leclerc","ferrari",4,"4","4","Finished",0,16.3486056442394,57.8289590471759,7.91654718121544,7.9097776283897
"perez","red_bull",4,"8","5","Finished",3,14.3329870099961,51.5229557794022,7.05328121176399,7.04764648034554
"ricciardo","mclaren",4,"7","6","Finished",1,12.5658738793486,44.6159822145257,6.10774487483726,6.10287388021895
"sainz","ferrari",4,"6","7","Finished",-1,11.0166280232844,41.5163797467065,5.68342201681236,5.6815027249993
"norris","mclaren",4,"9","8","+1 Lap",1,9.65838859825537,58.9876578550337,8.07516829306602,8.09399129158888
"ocon","alpine",4,"5","9","+1 Lap",-4,8.46760643254417,32.9543123652853,4.51131012839894,4.51013237792108
"gasly","alphatauri",4,"12","10","+1 Lap",2,7.42363573043798,28.8192471466526,3.94523666900979,3.94440348987343
"stroll","aston_martin",4,"11","11","+1 Lap",0,6.5083761151706,27.9761175048005,3.82981568098615,3.83185520392915
"raikkonen","alfa",4,"17","12","+1 Lap",5,5.70595880436931,19.208289131167,2.629535957119,2.62750515806185
"vettel","aston_martin",4,"13","13","+1 Lap",0,5.00247147691252,17.6949474755343,2.42236569475372,2.42008594875409
"russell","williams",4,"15","14","+1 Lap",1,4.3857170609365,14.4139271553535,1.97320747722383,1.97028457595509
"giovinazzi","alfa",4,"14","15","+1 Lap",-1,3.84500226085464,19.6426369305298,2.68899638842138,2.69282044060642
"latifi","williams",4,"19","16","+1 Lap",3,3.37095215686815,10.5444009354513,1.44348521707013,1.44076634454952
"alonso","alpine",4,"10","17","+1 Lap",-7,2.9553476624922,22.3089128677979,3.05399862265325,3.06320324146892
"mick_schumacher","haas",4,"18","18","+2 Laps",0,2.59098302193428,12.2882349981628,1.68220894409423,1.6839823647067
"mazepin","haas",4,"20","19","+2 Laps",1,2.27154087661232,9.4899121504314,1.29913002970004,1.2995080506922
"tsunoda","alphatauri",4,"16","20","Electrical",-4,1.99148273471456,20.0100502324827,2.73929376170703,2.79552683466137
"max_verstappen","red_bull",5,"2","1","Finished",1,24.2612263885053,112.332636392679,12.302301554728,12.2974455191727
"sainz","ferrari",5,"4","2","Finished",2,21.2700612052228,62.7864409519294,6.8761648879906,6.85227164473077
"norris","mclaren",5,"5","3","Finished",2,18.6476766025428,77.6353344575765,8.50236695647884,8.49419944318104
"perez","red_bull",5,"9","4","Finished",5,16.3486056442394,67.8715614236416,7.43307058783049,7.42536210568079
"vettel","aston_martin",5,"8","5","Finished",3,14.3329870099961,32.0279344855305,3.50759423858537,3.48584407278874
"gasly","alphatauri",5,"6","6","Finished",0,12.5658738793486,41.3851210260011,4.53236258927471,4.52060340728669
"hamilton","mercedes",5,"7","7","Finished",0,11.0166280232844,105.070368394023,11.5069618052147,11.5342804303496
"stroll","aston_martin",5,"13","8","+1 Lap",5,9.65838859825537,37.6345061030558,4.12160755601402,4.11581250897233
"ocon","alpine",5,"11","9","+1 Lap",2,8.46760643254417,41.4219187978294,4.53639256043992,4.53586735678954
"giovinazzi","alfa",5,"10","10","+1 Lap",0,7.42363573043798,27.0662726609678,2.96420932447211,2.95878154679479
"raikkonen","alfa",5,"14","11","+1 Lap",3,6.5083761151706,25.7166652463376,2.81640475112232,2.81262675926111
"ricciardo","mclaren",5,"12","12","+1 Lap",0,5.70595880436931,50.321941018895,5.51109377571794,5.52292937780796
"alonso","alpine",5,"17","13","+1 Lap",4,5.00247147691252,27.3113843447104,2.99105315138496,2.99249615318663
"russell","williams",5,"15","14","+1 Lap",1,4.3857170609365,18.79964421629,2.05887531618077,2.05710350137625
"latifi","williams",5,"18","15","+1 Lap",3,3.84500226085464,14.3894031963059,1.57588019829523,1.57317792122032
"tsunoda","alphatauri",5,"16","16","+1 Lap",0,3.37095215686815,23.3810023893508,2.56061062290135,2.56530894713655
"mazepin","haas",5,"19","17","+3 Laps",2,2.9553476624922,12.4452598129236,1.36296399748258,1.35661840280354
"mick_schumacher","haas",5,"20","18","+3 Laps",2,2.59098302193428,14.8792180200971,1.62952310975678,1.63496903525177
"bottas","mercedes",5,"3","19","Wheel nut",-16,2.27154087661232,60.805553706175,6.65922461999941,6.79319162983564
"leclerc","ferrari",5,"1","20","Driveshaft",-19,1.99148273471456,59.8204417818904,6.55133839612995,6.68718231935592
"perez","red_bull",6,"6","1","Finished",5,24.2612263885053,92.1327878121469,8.40840037781949,8.38873961237672
"vettel","aston_martin",6,"11","2","Finished",9,21.2700612052228,53.2979956907533,4.86418459427173,4.83661778384207
"gasly","alphatauri",6,"4","3","Finished",1,18.6476766025428,60.032797628544,5.47882909275062,5.45966457904134
"leclerc","ferrari",6,"1","4","Finished",-3,16.3486056442394,76.1690474261298,6.95148667879104,6.94620059160233
