"driver_id","constructor_id","round","grid","position","status","as.numeric(Results_DF[, 4]) - as.numeric(Results_DF[, 3])","round_points","accumulated_points","PI","PI_adj"
"russell","mercedes",13,"1","3","Finished",-2,18.6476766025428,204.222749641594,8.63373116203237,8.63102937599558
"sainz","ferrari",13,"2","4","Finished",-2,16.3486056442394,180.962392733812,7.65037515185646,7.64820960031077
"perez","red_bull",13,"11","5","Finished",6,14.3329870099961,200.564284848697,8.47906572175666,8.48013508328889
"leclerc","ferrari",13,"3","6","Finished",-3,12.5658738793486,194.020312121073,8.20241240394004,8.20589715649876
"norris","mclaren",13,"4","7","Finished",-3,11.0166280232844,130.266463893495,5.50715153262223,5.50625111821558
"alonso","alpine",13,"6","8","+1 Lap",-2,9.65838859825537,106.523177373383,4.50337916603959,4.50197580574428
"ocon","alpine",13,"5","9","+1 Lap",-4,8.46760643254417,121.6593163242,5.14327533217126,5.14411727033249
"vettel","aston_martin",13,"18","10","+1 Lap",8,7.42363573043798,72.4440876073313,3.06264986529704,3.06095220458323
"stroll","aston_martin",13,"14","11","+1 Lap",3,6.5083761151706,75.7298271933161,3.20155795611271,3.20091932027555
"gasly","alphatauri",13,"0","12","+1 Lap",-12,5.70595880436931,77.2718432812949,3.2667483052511,3.26699307087734
"zhou","alfa",13,"12","13","+1 Lap",-1,5.00247147691252,59.199419181348,2.50271760152681,2.50243923137645
"mick_schumacher","haas",13,"15","14","+1 Lap",1,4.3857170609365,64.0721779246373,2.70871859348698,2.70925221120484
"ricciardo","mclaren",13,"9","15","+1 Lap",-6,3.84500226085464,80.1582746991874,3.38877522401242,3.39087992308613
"kevin_magnussen","haas",13,"13","16","+1 Lap",-3,3.37095215686815,72.9263543225761,3.08303819703347,3.08542323732808
"albon","williams",13,"17","17","+1 Lap",0,2.9553476624922,63.3334638196408,2.6774886790953,2.6792618395512
"latifi","williams",13,"19","18","+1 Lap",1,2.59098302193428,45.0452957543289,1.90433717271773,1.90522350442933
"tsunoda","alphatauri",13,"16","19","+2 Laps",-3,2.27154087661232,62.4896492842846,2.64181553366137,2.64446369587101
"bottas","alfa",13,"8","20","Power Unit",-12,1.99148273471456,105.818287795401,4.47357921904106,4.50232064999035
"max_verstappen","red_bull",14,"14","1","Finished",13,24.2612263885053,274.147927226145,10.7592280273164,10.755234687877
"perez","red_bull",14,"2","2","Finished",0,21.2700612052228,221.83434605392,8.70612569511018,8.70160588287375
"sainz","ferrari",14,"1","3","Finished",-2,18.6476766025428,199.610069336355,7.83391023331239,7.83019622065236
"russell","mercedes",14,"5","4","Finished",1,16.3486056442394,220.571355285834,8.65655827431029,8.65604769634399
"alonso","alpine",14,"3","5","Finished",-2,14.3329870099961,120.856164383379,4.7431291721384,4.73830610481052
"leclerc","ferrari",14,"15","6","Finished",9,12.5658738793486,206.586186000421,8.10769537804535,8.10965941361442
"ocon","alpine",14,"16","7","Finished",9,11.0166280232844,132.675944347484,5.20700905316925,5.20575121751251
"vettel","aston_martin",14,"10","8","Finished",2,9.65838859825537,82.1024762055867,3.22219931422111,3.21897437202836
"gasly","alphatauri",14,"0","9","Finished",-9,8.46760643254417,85.7394497138391,3.3649362216292,3.36297735861416
"albon","williams",14,"6","10","Finished",-4,7.42363573043798,70.7570995500787,2.77693789741052,2.77498437625333
"stroll","aston_martin",14,"9","11","Finished",-2,6.5083761151706,82.2382033084867,3.22752606924846,3.226993934269
"norris","mclaren",14,"17","12","Finished",5,5.70595880436931,135.972422697864,5.33638286466479,5.33978022973581
"tsunoda","alphatauri",14,"0","13","Finished",-13,5.00247147691252,67.4921207611971,2.64880031982835,2.64871358734921
"zhou","alfa",14,"18","14","Finished",4,4.3857170609365,63.5851362422845,2.4954665420993,2.49560599588484
"ricciardo","mclaren",14,"7","15","Finished",-8,3.84500226085464,84.003276960042,3.29679826872939,3.29867990181652
"kevin_magnussen","haas",14,"12","16","+1 Lap",-4,3.37095215686815,76.2973064794442,2.99436923192646,2.9961903120345
"mick_schumacher","haas",14,"19","17","+1 Lap",2,2.9553476624922,67.0275255871295,2.63056678631686,2.63214049481462
"latifi","williams",14,"11","18","+1 Lap",-7,2.59098302193428,47.6362787762632,1.86953660716114,1.87025034510651
"bottas","alfa",14,"13","19","Accident",-6,2.27154087661232,108.089828672013,4.24210070046023,4.26812269541324
"hamilton","mercedes",14,"4","20","Collision damage",-16,1.99148273471456,200.802879538761,7.88072334290196,7.93259152669394
"max_verstappen","red_bull",15,"1","1","Finished",0,24.2612263885053,298.40915361465,10.9281502222595,10.9246919115719
"russell","mercedes",15,"6","2","Finished",4,21.2700612052228,241.841416491056,8.85656253290128,8.85255223617014
"leclerc","ferrari",15,"2","3","Finished",-1,18.6476766025428,225.233862602964,8.24837125755017,8.24559702067145
"hamilton","mercedes",15,"4","4","Finished",0,16.3486056442394,217.151485183,7.95238357242565,7.95198773151102
"perez","red_bull",15,"5","5","Finished",0,14.3329870099961,236.167333063916,8.6487698586005,8.64982657908596
"alonso","alpine",15,"13","6","Finished",7,12.5658738793486,133.422038262727,4.88609702294186,4.88314120457923
"norris","mclaren",15,"7","7","Finished",0,11.0166280232844,146.989050721149,5.38293952397436,5.38207633808959
"sainz","ferrari",15,"3","8","Finished",-5,9.65838859825537,209.26845793461,7.66369636248901,7.66702635965228
"ocon","alpine",15,"12","9","Finished",3,8.46760643254417,141.143550780028,5.16886934312708,5.16960698061479
"stroll","aston_martin",15,"10","10","Finished",0,7.42363573043798,89.6618390389247,3.28353884038937,3.28240794226696
"gasly","alphatauri",15,"11","11","Finished",0,6.5083761151706,92.2478258290096,3.37824120381392,3.37793592690993
"albon","williams",15,"15","12","Finished",3,5.70595880436931,76.4630583544481,2.80018148917058,2.79967754691224
"mick_schumacher","haas",15,"8","13","Finished",-5,5.00247147691252,72.029997064042,2.63783673821632,2.63772281334829
"vettel","aston_martin",15,"19","14","Finished",5,4.3857170609365,86.4881932665232,3.16731560349152,3.16834877886226
